	d33009	d33018	d33031	d33039	d33120	d33209	d33211	d33369	d33413	d33430	d33451	d33455	d33512	others33013
100652871_at	1	1	1	1	1	1	1	1	1	1	1	1	1	2
100652901_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100653133_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100653515_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10066_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10067_at	3	2	2	2	2	2	3	3	2	2	3	3	2	4
10068_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10069_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1007_at	1	1	1	1	1	1	1	2	1	2	4	3	3	5
10071_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10072_at	1	1	1	1	1	1	1	1	1	1	2	1	1	1
10073_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10076_at	4	3	4	3	3	3	4	4	3	3	4	4	3	4
10077_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10078_at	3	3	3	3	2	2	3	2	3	2	3	2	2	4
10079_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1008_at	1	1	1	1	1	1	1	2	1	2	3	3	2	5
10081_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10082_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100820829_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10083_at	1	1	1	1	1	1	1	1	1	1	2	1	1	2
10085_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10086_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100861507_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100861540_at	6	5	6	6	6	5	6	6	5	6	5	6	4	4
100862671_at	6	6	6	6	6	6	6	6	6	5	6	6	5	5
10087_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100885848_at	2	1	1	1	1	1	1	1	1	1	1	1	1	1
100885850_at	2	2	1	1	2	1	1	1	2	2	2	2	1	2
10089_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1009_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10090_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10092_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
