	d33009	d33018	d33031	d33039	d33120	d33209	d33211	d33369	d33413	d33430	d33451	d33455	d33512	others33013
10494_at	5.659387233	5.19108146	5.200750789	5.077747839	4.897810683	4.51803963	5.000688623	4.52209093	4.643166092	4.016573229	5.407504324	4.783027358	5.1546478	5.54689773
10497_at	6.497406055	7.820670077	6.354039101	6.397399152	7.125912668	7.001603078	8.471858684	7.819095046	7.821771623	7.118869086	6.781529911	7.860002592	6.683334992	6.928613323
10498_at	8.317022083	7.850850661	8.238600176	7.521886691	7.48328396	7.999137529	8.181305102	8.17923766	8.207746306	8.105630037	8.453348978	7.917931	7.810247156	8.104903837
10499_at	0.082242845	0.25354455	0.070158643	0.082523424	0.325106716	0.101561017	0.084413103	0.260833193	0.141063142	0.128146265	0.241238526	0.197602709	0.069545518	0.265729424
105_at	0.24108315	0.342625976	0.375640176	0.303613062	0.791950512	0.211994762	0.499904421	0.558855056	0.466927489	0.123796585	0.313923306	0.821704106	0.192712393	0.524997272
1050_at	0.30216578	0	3.867375787	0.628130544	2.918149619	0.383120409	0.274301639	1.480586745	1.279704977	1.81179302	2.346844196	1.750695033	2.255767677	5.487301489
10500_at	6.129746665	6.137038437	5.955354713	6.012085918	6.20782594	6.337035162	6.553312063	6.480327006	6.28781152	6.156692551	5.929260306	6.333438262	5.831423612	6.006492509
10501_at	3.775905497	4.568308678	4.193314387	5.538836478	4.687495397	2.62330099	2.944348746	3.623823915	2.898643366	3.693720103	4.274690337	3.129121778	3.694772248	6.286692097
10505_at	5.902111982	6.24012584	6.183868081	5.398107401	5.975300917	6.078269897	6.310514319	6.415933818	6.358213579	5.708944296	6.033761052	6.14688999	5.880195453	5.871690992
10507_at	0.090188103	0	0.213911888	0.053476055	0.061065878	0.026748938	0.124578719	0.106042914	0	0.11029218	0.147659574	0.24892824	0.144827883	0.208741642
10509_at	0.925617445	1.59712858	0.416074419	1.068310187	1.282041608	1.16316021	0.621957511	1.219958204	1.209457361	1.106981151	2.151780389	1.449289403	1.217353818	2.763133606
1051_at	0	0	0	0	0	0	0	0	0	0.123712165	0.313722544	0	0	0
10512_at	0.040528834	0	0	0	0	0	0.048434674	0.094063163	0	0.049753641	0.131188173	0.321377651	0.07856333	0.632319284
10513_at	4.05615231	4.0894455	3.245634997	3.932780346	4.222313529	4.236267807	3.866124963	4.250061956	4.034197698	4.558841287	3.714101372	4.434846862	3.638329649	4.147801611
