	conf.int.low	foldChange.MLE	conf.int.up	conservative.foldChange	Signed.P.Zscore	Signed.Q.Value
TAF5	-4.50298274700607	-1.25082854083502	1.30086168246842	0	-0.977626579452377	-2.96502936349372e-05
PARN	-2.80185593147045	-0.900596549401214	0.850563407767817	0	-0.978176598102737	-2.96502936349372e-05
UQCRFS1	-2.50165708167004	-0.800530266134413	0.800530266134416	0	-0.979032948636253	-2.96502936349372e-05
GPR45	-3.00198849800405	-0.950629691034615	0.900596549401214	0	-0.980023228389885	-2.96502936349372e-05
RPL32	-2.45162394003664	-0.800530266134413	0.750497124501012	0	-0.981085372431561	-2.96502936349372e-05
SAP30L	-3.95261818903866	-1.20079539920162	1.20079539920162	0	-0.981708251060702	-2.96502936349372e-05
NOTCH3	-4.65308217190629	-1.70112681553563	1.65109367390223	0	-0.98252767041742	-2.96502936349372e-05
TUT7	-2.30152451513644	-0.750497124501012	0.700463982867611	0	-0.983777777717609	-2.96502936349372e-05
TLCD5	-5.30351301314049	-1.35089482410183	1.55102739063543	0	-0.984878930675139	-2.96502936349372e-05
RNU6ATAC	-4.55301588863948	-1.95129252370263	1.65109367390223	0	-0.985640223960952	-2.96502936349372e-05
LSM5	-2.90192221473725	-0.900596549401214	0.850563407767817	0	-0.985874395177335	-2.96502936349372e-05
ZNF775	-2.75182278983705	-0.950629691034615	0.900596549401214	0	-0.986528639796181	-2.96502936349372e-05
SNORA4	-4.60304903027289	-1.45096110736862	1.45096110736863	0	-0.986619055812728	-2.96502936349372e-05
H3C13	-4.50298274700607	-1.95129252370263	1.65109367390223	0	-0.988723069696997	-2.96502936349372e-05
GTPBP1	-3.50231991433806	-1.00066283266802	0.950629691034615	0	-0.989332580587344	-2.96502936349372e-05
ODF3B	-3.30218734780446	-1.05069597430142	1.05069597430142	0	-0.989811217879003	-2.96502936349372e-05
PDXP	-4.60304903027289	-1.65109367390223	1.55102739063543	0	-0.991128108069876	-2.96502936349372e-05
CENPQ	-2.55169022330344	-0.850563407767817	0.800530266134416	0	-0.991534587346667	-2.96502936349372e-05
EID2	-4.80318159680648	-1.60106053226883	1.60106053226883	0	-0.992668360870662	-2.96502936349372e-05
POC5	-4.00265133067206	-1.20079539920162	1.20079539920162	0	-0.992907692584164	-2.96502936349372e-05
AAAS	-2.90192221473725	-0.950629691034615	0.900596549401214	0	-0.993005152467725	-2.96502936349372e-05
EIF4E3	-3.10205478127086	-0.950629691034615	0.900596549401214	0	-0.994069943632986	-2.96502936349372e-05
VPS35	-2.65175650657025	-0.850563407767817	0.800530266134416	0	-0.99576572376174	-2.96502936349372e-05
HINT1	-2.20145823186964	-0.750497124501012	0.65043084123421	0	-0.995838070888346	-2.96502936349372e-05
TMEM223	-2.55169022330344	-0.850563407767817	0.750497124501012	0	-0.996179646767267	-2.96502936349372e-05
NOC2L	-2.55169022330344	-0.800530266134413	0.750497124501012	0	-0.996216325606622	-2.96502936349372e-05
ACOT13	-3.00198849800405	-1.00066283266802	0.900596549401214	0	-0.99722985319876	-2.96502936349372e-05
SUCLG2	-2.55169022330344	-0.800530266134413	0.750497124501012	0	-0.999731153037527	-2.96502936349372e-05
DNAAF2	-3.65241933923828	-1.20079539920162	1.10072911593482	0	-1.00007160472867	-2.96502936349372e-05
NDUFB4	-2.60172336493685	-0.850563407767817	0.800530266134416	0	-1.00121826377926	-2.96502936349372e-05
SLC52A2	-3.80251876413847	-1.25082854083502	1.25082854083502	0	-1.00233181972754	-2.96502936349372e-05
LPCAT2	-4.50298274700607	-1.90125938206923	1.60106053226883	0	-1.00273405594629	-2.96502936349372e-05
UBAC2	-2.90192221473725	-0.950629691034615	0.900596549401214	0	-1.00292196400994	-2.96502936349372e-05
C16orf72	-2.90192221473725	-0.900596549401214	0.850563407767817	0	-1.00338804534698	-2.96502936349372e-05
FXR2	-3.70245248087165	-1.15076225756822	1.05069597430142	0	-1.00345169530192	-2.96502936349372e-05
CASTOR1	-4.75314845517308	-1.50099424900203	1.55102739063543	0	-1.00346572262583	-2.96502936349372e-05
ZSWIM1	-5.3535461547739	-1.50099424900203	1.60106053226883	0	-1.00420725968023	-2.96502936349372e-05
VPS37B	-4.30285018047248	-1.35089482410183	1.30086168246842	0	-1.00461715506334	-2.96502936349372e-05
S1PR4	-4.25281703883907	-1.25082854083502	1.20079539920162	0	-1.00668661587428	-2.96502936349372e-05
CTNS	-4.35288332210588	-1.30086168246842	1.25082854083502	0	-1.0067780849743	-2.96502936349372e-05
CDC42BPB	-4.30285018047248	-1.40092796573523	1.40092796573523	0	-1.00773387421341	-2.96502936349372e-05
ELOF1	-2.65175650657025	-0.800530266134413	0.750497124501012	0	-1.00973894407337	-2.96502936349372e-05
COX6A1	-2.40159079840324	-0.800530266134413	0.700463982867611	0	-1.00975340964474	-2.96502936349372e-05
SLC25A16	-4.75314845517308	-1.70112681553563	1.85122624043583	0	-1.0112736515292	-2.96502936349372e-05
GON7	-3.35222048943787	-1.10072911593482	1.05069597430142	0	-1.01410549110423	-2.96502936349372e-05
